Communauté I
Merlangius merlangus
Trachurus trachurus
Pleuronectes platessa
Solea solea
Clupea harengus
Scomber scombrus
Pollachius pollachius
Scyliorhinus canicula
Chelidonichthys lucerna
Spondyliosoma cantharus
Raja montagui
Dicentrarchus labrax
Platichthys flesus
Eutrigla gurnardus
Leucoraja naevus
Micromesistius poutassou
Microstomus kitt
Dasyatis pastinaca
Trachinus draco
Alosa fallax
Pagellus erythrinus
Sparus aurata
Pagellus bogaraveo
Microchirus
Mustelus
