Communauté II
Gadus morhua
Raja clavata
Scyliorhinus stellaris
Raja undulata
Mustelus asterias
Mustelus mustelus
Galeorhinus galeus
Anguilla anguilla
Balistes capriscus
Conger conger
Leucoraja circularis
Scophthalmus maximus
