Communauté VI
Liocarcinus depurator
Cancer pagurus
Asterias rubens
Ophiothrix fragilis
Pisidia longicornis
Pecten maximus
Carcinus maenas
Aphrodita aculeata
Crangon crangon
Inachus dorsettensis
Macropodia tenuirostris
Ophiura albida
Pagurus bernhardus
Liocarcinus holsatus
Necora puber
Aequipecten opercularis
Buccinum undatum
Ophiura ophiura
Crossaster papposus
Homarus gammarus
