BioticID;SpeciesName;ResearchedBy;DataSuppliedBy;RefereedBy;Phylum;Class;Ordr;Family;Genus;Species;FoodType;Size;Flexibility;Fragility;Habit;Bioturbator;GrowthRate;DispPotAdult;Dependency;Sociability;Regeneration;Toxic;LifeSpan;Maturity;GenerationTime;ReprodFreq;ReprodSeason;LarvalSettlePeriod;Fecundity;EggSize;FertilizationType;DispPotLarvae;LarvalSettlingTime;ReprodLocation;BiogeographicRange;DepthRange;Migratory;biozone;devmech;envpos;feedingmethod;growthform;mobility;physpref;reprodtype;salinity;substratum;waterflow;waveexp
6016;Ophiura albida;Lizzie Tyler;University of Sheffield;This information is not refereed.;Echinodermata;Ophiuroidea;Ophiurida;Ophiuridae;Ophiura;albida;Insufficient information;Small(1-2cm);Low (10-45 degrees);Fragile;Free living;;Insufficient information;1km-10km;Independent;Solitary;;;3-5 years;;Insufficient information;Insufficient information;Insufficient information;Insufficient information;;;Insufficient information;Insufficient information;;Insufficient information;Not researched;4 - 850 m;Insufficient info.;Insufficient information (13);;Epibenthic (19);Passive suspension feeder (3);;;;;;;;
6173;Pagurus bernhardus;Morvan Barnes;MarLIN;This information is not refereed;Crustacea;Eumalacostraca;Decapoda;Paguridae;Pagurus;bernhardus;Organic detritus, carrion;Small-medium(3-10cm);None (< 10 degrees);Intermediate;Free living;Not relevant;Not Researched;1km-10km;Commensal with/on/in;Solitary;0;0;6-10 years;1 year;Not researched;Annual episodic;All year;March to June;10,000 to 20,000;0.5-1 mm;Internal;1km-10km;11-30 days;As adult;Temperate.;From MTL to 140 m, seldom down to 500 m;Non-migratory / Resident;Mid Eulittoral (5);;;;;;;;;;;
6176;Liocarcinus holsatus;Lizzie Tyler;University of Sheffield;This information is not refereed.;Crustacea;Eumalacostraca;Decapoda;Portunidae;Liocarcinus;holsatus;Carrion, invertebrates such as polychaetes, small bivalves, echinoderms, small crustaceans and also juvenile fish;Small-medium(3-10cm);None (< 10 degrees);Fragile;Free living;Not relevant;Not Researched;>10km;Independent;Solitary;0;0;6-10 years;1 year;Not researched;Annual episodic;Not researched;Not researched;;;Internal;Not researched;;As adult;Temperate to warm temperate.;6 - 350 m;Seasonal (environment);Lower Eulittoral (6);;;;;;;;;;;
6177;Necora puber;Morvan Barnes;MarLIN;This information is not refereed;Crustacea;Eumalacostraca;Decapoda;Portunidae;Necora;puber;Invertebrates such as crustaceans and molluscs and also carrion or even brown algae. More likely to be predatorial at greater depths.;Small-medium(3-10cm);None (< 10 degrees);Fragile;Free living;Not relevant;Not Researched;10-100m;Independent;Solitary;1;0;6-10 years;1 year;1 year;Annual episodic;May;16-20 weeks after hatching;300,000-450,000;490-500 &#181;;;;;;;;;;;;;;;;;;;
6178;Aequipecten opercularis;Morvan Barnes;MarLIN;This information is not refereed;Mollusca;Pelecypoda;Ostreoida;Pectinidae;Aequipecten;opercularis;Suspended organic matter including plankton;Small-medium(3-10cm);None (< 10 degrees);Intermediate;Free living;Not relevant;Not Researched;Not researched;Independent;Solitary;0;0;6-10 years;1 year;Not researched;Annual episodic;June to October;June to July and September to October;3 - 6 million eggs;68 &#181;;;;;;;;;;;;;;;;;;;
6184;Buccinum undatum;Lizzie Tyler;University of Sheffield;This information is not refereed.;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Buccinum;undatum;Carrion as well as bivalves and certain polychaetes;Small-medium(3-10cm);None (< 10 degrees);Robust;Free living;Not relevant;Not researched;1km-10km;Independent;Solitary;0;0;11-20 years;6-10 years;Not researched;Annual protracted;October to May;Not researched;11500;250 &#181;;;;;;;;;;;;;;;;;;;
6187;Ophiura ophiura;Lizzie Tyler;University of Sheffield;This information is not refereed.;Echinodermata;Ophiuroidea;Ophiurida;Ophiuridae;Ophiura;ophiura;Small bivalves, polychaetes, crustaceans and carrion;Small-medium(3-10cm);High (>45 degrees);Fragile;Free living;Not relevant;Not Researched;1km-10km;Independent;Solitary;1;0;6-10 years;1-2 years;Not researched;Annual protracted;Not researched;Not researched;;;External;Not researched;;Insufficient information;Temperate to warm temperate.;;Non-migratory / Resident;Sublittoral Fringe (7);;;;;;;;;;;
6192;Crossaster papposus;Lizzie Tyler;University of Sheffield;This information is not refereed.;Echinodermata;Asteroidea;Velatida;Solasteridae;Crossaster;papposus;Wide range of invertebrates including bivalves and other echinoderms and carrion;Medium-large(21-50cm);Low (10-45 degrees);Intermediate;Free living;Not relevant;Not researched;Not researched;Independent;Solitary;1;0;11-20 years;3-5 years;Not researched;Annual protracted;March to April;May to July;;750 &#181;;;;;;;;;;;;;;;;;;;
6204;Homarus gammarus;Morvan Barnes;MarLIN;This information is not refereed;Crustacea;Eumalacostraca;Decapoda;Nephropidae;Homarus;gammarus;A variety of live molluscs and crustaceans as well as carrion.;Medium-large(21-50cm);Low (10-45 degrees);Intermediate;Free living;Not researched;3 cm / year (carapace length);>10km;Independent;Solitary;1;0;11-20 years;6-10 years;Not researched;Annual protracted;June to August;Insufficinet information;Up to 100,000 or more;ca. 1.5 mm;External;1km-10km;11-30 days;As adult;Temperate to warm temperate.;LWST to 60 m.;Seasonal (reproduction);Circalittoral Offshore (17);;;;;;;;;;;
6302;Eurynome aspera;Lizzie Tyler;University of Sheffield;This information is not refereed.;Arthropoda;Malacostraca;Decapoda;Majidae;Eurynome;aspera;;Small(1-2cm);;;;;;;;;;;;;;Insufficient information;;;;;;;;;;2 - 120 m;;;;;;;;;;;;;
6340;Hyas coarctatus;Lizzie Tyler;University of Sheffield;This information is not refereed.;Arthropoda;Malacostraca;Decapoda;Majidae;Hyas;coarctatus;;Small-medium(3-10cm);;;;;;;;;;;;;;Insufficient information;;;;;;;;;;0 - 500 m;;;;;Predator (22);;;;;;;;
6359;Liocarcinus pusillus;Lizzie Tyler;University of Sheffield;This information is not refereed.;Arthropoda;Malacostraca;Decapoda;Portunidae;Liocarcinus;pusillus;;Small(1-2cm);;;;;;;;;;;;;;Insufficient information;;;;;;;;;;0 - 100 m;;;;;;;;;;;;;
6509;Upogebia deltaura;Lizzie Tyler;University of Sheffield;This information is not refereed.;Arthropoda;Malacostraca;Decapoda;Upogebiidae;Upogebia;deltaura;;Medium(11-20 cm);;;;;;;;Solitary;;;;;;Insufficient information;;;;;;;;;;0 - 40 m;Insufficient info.;;;;Passive suspension feeder (3);;;;;;;;
6525;Inachus phalangium;Dan Bayley;;;Arthropoda;Malacostraca;Decapoda;Inachidae;Inachus;phalangium;;Small-medium(3-10cm);;;;;;;;;;;1-2 years;<1 year;;Insufficient information;;;44 - 2744 eggs per brood (6 broods max.);;;;;;;;;;;;;;;;;;;;
