Annee;Serie;Code_Station;Id_Operation;Code_PMFM;Libelle_PMFM;Valeur
2 015;Campagne CGFS;T0575;41;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 015;Campagne CGFS;T0576;42;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 015;Campagne CGFS;T0578;43;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0579;44;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0580;45;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0581;46;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0582;47;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0583;48;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0584;49;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.65
2 015;Campagne CGFS;T0585;50;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0586;51;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 015;Campagne CGFS;T0587;52;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0588;53;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 015;Campagne CGFS;T0589;54;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";13.9
2 015;Campagne CGFS;T0590;55;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0591;56;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0592;57;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
