IDENTIFIANT_TAXON_HARMONIE;CODE_PERMANENT_REFTAX;CODE_MNEMONIQUE_REFTAX;APHIA_ID_WORMS;NOM_VALIDE;EST_REFERENT;CODE_LIEN_REFERENT_SYNONYME;NUMERO_D_ORDRE_SYSTEMATIQUE;NIVEAU_SYSTEMATIQUE;IDENTIFIANT_TAXON_PERE;IDENTIFIANT_AUTEUR_DATE;AUTEUR_DATE
33892;1685;UMBRRON;304286;Sciaena capensis;NON;1685;381700000;Espèce;17136;4340;Pappe, 1853
17139;1685;UMBRRON;127013;Umbrina ronchus;OUI;1685;381700000;Espèce;17136;799;Valenciennes, 1843
33622;1685;UMBRRON;;Corvina ronchus;NON;1685;381700000;Espèce;17136;784;(Valenciennes, 1843)
33955;1685;UMBRRON;304401;Umbrina angustilineata;NON;1685;381700000;Espèce;17136;3811;Gilchrist & Thompson, 1911
20045;4602;UMBRCOR;159338;Umbrina coroides;OUI;4602;381700100;Espèce;17136;933;Cuvier, 1830
18288;2837;MICP;151157;Micropogonias;OUI;2837;381800000;Genre;17133;671;Bonaparte, 1831
24053;2838;MICPFUR;401994;Micropogon funieri;NON;2838;381900000;Espèce;18288;1197;(Desmarest, 1823)
24054;2838;MICPFUR;319352;Micropogon furnieri;NON;2838;381900000;Espèce;18288;1197;(Desmarest, 1823)
33777;2838;MICPFUR;319348;Micropogon argentatus;NON;2838;381900000;Espèce;18288;933;Cuvier, 1830
33838;2838;MICPFUR;315106;Ophioscion woodwardi;NON;2838;381900000;Espèce;18288;3774;Fowler, 1937
33779;2838;MICPFUR;401993;Micropogon furnieiri;NON;2838;381900000;Espèce;18288;1197;(Desmarest, 1823)
