ScientificName;;AphiaID;Match type;Taxon status;ScientificName;AphiaID_accepted;ScientificName_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial
Chelon labrosus;;126977;exact;accepted;Chelon labrosus;126977;Chelon labrosus;Animalia;Chordata;Actinopterygii;Perciformes;Mugilidae;Chelon;;labrosus;;1;1;1;0
Blennius ocellaris;;126761;exact;accepted;Blennius ocellaris;126761;Blennius ocellaris;Animalia;Chordata;Actinopterygii;Perciformes;Blenniidae;Blennius;;ocellaris;;1;0;0;0
Pagellus bogaraveo;;127059;exact;accepted;Pagellus bogaraveo;127059;Pagellus bogaraveo;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Pagellus;;bogaraveo;;1;0;0;0
Hyperoplus lanceolatus;;126756;exact;accepted;Hyperoplus lanceolatus;126756;Hyperoplus lanceolatus;Animalia;Chordata;Actinopterygii;Perciformes;Ammodytidae;Hyperoplus;;lanceolatus;;1;1;0;0
Ammodytes tobianus;;126752;exact;accepted;Ammodytes tobianus;126752;Ammodytes tobianus;Animalia;Chordata;Actinopterygii;Perciformes;Ammodytidae;Ammodytes;;tobianus;;1;1;0;0
Hippocampus hippocampus;;127380;exact;accepted;Hippocampus hippocampus;127380;Hippocampus hippocampus;Animalia;Chordata;Actinopterygii;Syngnathiformes;Syngnathidae;Hippocampus;;hippocampus;;1;0;0;0
Liparis liparis;;127219;exact;alternate representation;Liparis liparis;293624;Liparis liparis liparis;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Liparidae;Liparis;;liparis;;1;0;0;0
Atherina presbyter;;272030;exact;accepted;Atherina presbyter;272030;Atherina presbyter;Animalia;Chordata;Actinopterygii;Atheriniformes;Atherinidae;Atherina;;presbyter;;1;1;0;0
Gobius niger;;;ambiguous;;;;;;;;;;;;;;;;;
Hyperoplus immaculatus;;126755;exact;accepted;Hyperoplus immaculatus;126755;Hyperoplus immaculatus;Animalia;Chordata;Actinopterygii;Perciformes;Ammodytidae;Hyperoplus;;immaculatus;;1;0;0;0
Lepadogaster lepadogaster;;126518;exact;accepted;Lepadogaster lepadogaster;126518;Lepadogaster lepadogaster;Animalia;Chordata;Actinopterygii;Gobiesociformes;Gobiesocidae;Lepadogaster;;lepadogaster;;1;0;0;0
Myoxocephalus scorpius;;127203;exact;accepted;Myoxocephalus scorpius;127203;Myoxocephalus scorpius;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Cottidae;Myoxocephalus;;scorpius;;1;1;0;0
Syngnathus acus;;127387;exact;accepted;Syngnathus acus;127387;Syngnathus acus;Animalia;Chordata;Actinopterygii;Syngnathiformes;Syngnathidae;Syngnathus;;acus;;1;1;0;0
Ctenolabrus rupestris;;126964;exact;accepted;Ctenolabrus rupestris;126964;Ctenolabrus rupestris;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Ctenolabrus;;rupestris;;1;0;0;0
Lepadogaster;;125781;exact;accepted;Lepadogaster;125781;Lepadogaster;Animalia;Chordata;Actinopterygii;Gobiesociformes;Gobiesocidae;Lepadogaster;;;;1;0;0;0
Loligo;;138139;exact;accepted;Loligo;138139;Loligo;Animalia;Mollusca;Cephalopoda;Myopsida;Loliginidae;Loligo;;;;1;;0;0
Cancer pagurus;;107276;exact;accepted;Cancer pagurus;107276;Cancer pagurus;Animalia;Arthropoda;Malacostraca;Decapoda;Cancridae;Cancer;;pagurus;;1;;;
Loligo vulgaris;;140271;exact;accepted;Loligo vulgaris;140271;Loligo vulgaris;Animalia;Mollusca;Cephalopoda;Myopsida;Loliginidae;Loligo;;vulgaris;;1;;0;0
Macropodia;;205077;exact;accepted;Macropodia;205077;Macropodia;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;;;;1;;;
Liocarcinus depurator;;107387;exact;accepted;Liocarcinus depurator;107387;Liocarcinus depurator;Animalia;Arthropoda;Malacostraca;Decapoda;Polybiidae;Liocarcinus;;depurator;;1;;;
Ophiura ophiura;;124929;exact;accepted;Ophiura ophiura;124929;Ophiura ophiura;Animalia;Echinodermata;Ophiuroidea;Ophiurida;Ophiuridae;Ophiura;;ophiura;;1;0;0;0
Callionymus;;125930;exact;accepted;Callionymus;125930;Callionymus;Animalia;Chordata;Actinopterygii;Perciformes;Callionymidae;Callionymus;;;;1;1;1;0
Gobiidae;;125537;exact;accepted;Gobiidae;125537;Gobiidae;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;;;;;1;1;;
Necora puber;;107398;exact;accepted;Necora puber;107398;Necora puber;Animalia;Arthropoda;Malacostraca;Decapoda;Polybiidae;Necora;;puber;;1;;;
Sepia officinalis;;141444;exact;accepted;Sepia officinalis;141444;Sepia officinalis;Animalia;Mollusca;Cephalopoda;Sepiida;Sepiidae;Sepia;;officinalis;;1;;0;0
Liocarcinus vernalis;;107394;exact;accepted;Liocarcinus vernalis;107394;Liocarcinus vernalis;Animalia;Arthropoda;Malacostraca;Decapoda;Polybiidae;Liocarcinus;;vernalis;;1;;;
Echinocardium cordatum;;124392;exact;accepted;Echinocardium cordatum;124392;Echinocardium cordatum;Animalia;Echinodermata;Echinoidea;Spatangoida;Loveniidae;Echinocardium;;cordatum;;1;0;0;0
Crangon crangon;;107552;exact;accepted;Crangon crangon;107552;Crangon crangon;Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Crangon;;crangon;;1;;0;0
Aequipecten opercularis;;140687;exact;accepted;Aequipecten opercularis;140687;Aequipecten opercularis;Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae;Aequipecten;;opercularis;;1;;;
Mytilus edulis;;140480;exact;accepted;Mytilus edulis;140480;Mytilus edulis;Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Mytilus;;edulis;;1;;;
Inachus dorsettensis;;107327;exact;accepted;Inachus dorsettensis;107327;Inachus dorsettensis;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Inachus;;dorsettensis;;1;;;
Sepiola;;138483;exact;accepted;Sepiola;138483;Sepiola;Animalia;Mollusca;Cephalopoda;Sepiida;Sepiolidae;Sepiola;;;;1;;0;0
Suberites;;132072;exact;accepted;Suberites;132072;Suberites;Animalia;Porifera;Demospongiae;Suberitida;Suberitidae;Suberites;;;;1;0;0;0
Pagurus cuanensis;;;ambiguous;;;;;;;;;;;;;;;;;
Ophiothrix fragilis;;125131;exact;accepted;Ophiothrix fragilis;125131;Ophiothrix fragilis;Animalia;Echinodermata;Ophiuroidea;Amphilepidida;Ophiotrichidae;Ophiothrix;;fragilis;;1;0;0;0
Maja brachydactyla;;107347;exact;accepted;Maja brachydactyla;107347;Maja brachydactyla;Animalia;Arthropoda;Malacostraca;Decapoda;Majidae;Maja;;brachydactyla;;1;;;
Pecten maximus;;140712;exact;accepted;Pecten maximus;140712;Pecten maximus;Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae;Pecten;;maximus;;1;;;
Anseropoda placenta;;123985;exact;accepted;Anseropoda placenta;123985;Anseropoda placenta;Animalia;Echinodermata;Asteroidea;Valvatida;Asterinidae;Anseropoda;;placenta;;1;0;0;0
Symphodus bailloni;;273566;exact;accepted;Symphodus bailloni;273566;Symphodus bailloni;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Symphodus;;bailloni;;1;0;0;0
Pisidia longicornis;;107188;exact;accepted;Pisidia longicornis;107188;Pisidia longicornis;Animalia;Arthropoda;Malacostraca;Decapoda;Porcellanidae;Pisidia;;longicornis;;1;;;
Pilumnus hirtellus;;107418;exact;accepted;Pilumnus hirtellus;107418;Pilumnus hirtellus;Animalia;Arthropoda;Malacostraca;Decapoda;Pilumnidae;Pilumnus;;hirtellus;;1;;;
Ascidia;;103483;exact;accepted;Ascidia;103483;Ascidia;Animalia;Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidia;;;;1;;;0
Macropodia tenuirostris;;107346;exact;accepted;Macropodia tenuirostris;107346;Macropodia tenuirostris;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;;tenuirostris;;1;;;
Mimachlamys varia;;236719;exact;accepted;Mimachlamys varia;236719;Mimachlamys varia;Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae;Mimachlamys;;varia;;1;;0;0
Buccinum undatum;;138878;exact;accepted;Buccinum undatum;138878;Buccinum undatum;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Buccinum;;undatum;;1;;;
Palaemon serratus;;107616;exact;accepted;Palaemon serratus;107616;Palaemon serratus;Animalia;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Palaemon;;serratus;;1;;0;0
Scophthalmus maximus;;127149;exact;accepted;Scophthalmus maximus;127149;Scophthalmus maximus;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Scophthalmidae;Scophthalmus;;maximus;;1;1;0;0
Symphodus roissali;;273573;exact;accepted;Symphodus roissali;273573;Symphodus roissali;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Symphodus;;roissali;;1;1;0;0
Loligo forbesi;;416668;exact;unaccepted;Loligo forbesi;140270;Loligo forbesii;Animalia;Mollusca;Cephalopoda;Myopsida;Loliginidae;Loligo;;forbesi;;1;;0;0
Ascidiacea;;1839;exact;accepted;Ascidiacea;1839;Ascidiacea;Animalia;Chordata;Ascidiacea;;;;;;;1;;;
Macropodia rostrata;;107345;exact;accepted;Macropodia rostrata;107345;Macropodia rostrata;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;;rostrata;;1;;;
Calliostoma granulatum;;141753;exact;accepted;Calliostoma granulatum;141753;Calliostoma granulatum;Animalia;Mollusca;Gastropoda;Trochida;Calliostomatidae;Calliostoma;;granulatum;;1;;;
Tethya aurantium;;134311;exact;accepted;Tethya aurantium;134311;Tethya aurantium;Animalia;Porifera;Demospongiae;Tethyida;Tethyidae;Tethya;;aurantium;;1;0;0;0
Calliostoma zizyphinum;;141767;exact;accepted;Calliostoma zizyphinum;141767;Calliostoma zizyphinum;Animalia;Mollusca;Gastropoda;Trochida;Calliostomatidae;Calliostoma;;zizyphinum;;1;0;0;0
Pagurus prideaux;;107239;exact;accepted;Pagurus prideaux;107239;Pagurus prideaux;Animalia;Arthropoda;Malacostraca;Decapoda;Paguridae;Pagurus;;prideaux;;1;;;
Aphrodita aculeata;;129840;exact;accepted;Aphrodita aculeata;129840;Aphrodita aculeata;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Aphrodita;;aculeata;;1;0;0;0
Homarus gammarus;;107253;exact;accepted;Homarus gammarus;107253;Homarus gammarus;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Homarus;;gammarus;;1;;;
Polychaeta;;883;exact;accepted;Polychaeta;883;Polychaeta;Animalia;Annelida;Polychaeta;;;;;;;1;1;1;1
Galathea;;;ambiguous;;;;;;;;;;;;;;;;;
Abra alba;;141433;exact;accepted;Abra alba;141433;Abra alba;Animalia;Mollusca;Bivalvia;Cardiida;Semelidae;Abra;;alba;;1;;;
Rissoides desmaresti;;136135;exact;accepted;Rissoides desmaresti;136135;Rissoides desmaresti;Animalia;Arthropoda;Malacostraca;Stomatopoda;Squillidae;Rissoides;;desmaresti;;1;0;0;0
Styela clava;;103929;exact;accepted;Styela clava;103929;Styela clava;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Styela;;clava;;1;;0;0
Adamsia carciniopados;;100931;exact;unaccepted;Adamsia carciniopados;445590;Adamsia palliata;Animalia;Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Adamsia;;carciniopados;;1;;;
Doris pseudoargus;;181228;exact;accepted;Doris pseudoargus;181228;Doris pseudoargus;Animalia;Mollusca;Gastropoda;Nudibranchia;Dorididae;Doris;;pseudoargus;;1;;;
Liocarcinus pusillus;;107393;exact;accepted;Liocarcinus pusillus;107393;Liocarcinus pusillus;Animalia;Arthropoda;Malacostraca;Decapoda;Polybiidae;Liocarcinus;;pusillus;;1;;;
Tritonia hombergii;;416648;exact;accepted;Tritonia hombergii;416648;Tritonia hombergii;Animalia;Mollusca;Gastropoda;Nudibranchia;Tritoniidae;Tritonia;;hombergii;;1;;;
Microchirus;;126129;exact;accepted;Microchirus;126129;Microchirus;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Soleidae;Microchirus;;;;1;0;0;0
Diodora graeca;;139951;exact;accepted;Diodora graeca;139951;Diodora graeca;Animalia;Mollusca;Gastropoda;Lepetellida;Fissurellidae;Diodora;;graeca;;1;0;0;0
Molgulidae;;103448;exact;accepted;Molgulidae;103448;Molgulidae;Animalia;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;;;;;1;;;
Mytilus galloprovincialis;;140481;exact;accepted;Mytilus galloprovincialis;140481;Mytilus galloprovincialis;Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Mytilus;;galloprovincialis;;1;0;0;0
Pisa armata;;107353;exact;accepted;Pisa armata;107353;Pisa armata;Animalia;Arthropoda;Malacostraca;Decapoda;Epialtidae;Pisa;;armata;;1;;;
Dromia personata;;107258;exact;accepted;Dromia personata;107258;Dromia personata;Animalia;Arthropoda;Malacostraca;Decapoda;Dromiidae;Dromia;;personata;;1;;;
Ocenebra erinaceus;;140405;exact;accepted;Ocenebra erinaceus;140405;Ocenebra erinaceus;Animalia;Mollusca;Gastropoda;Neogastropoda;Muricidae;Ocenebra;;erinaceus;;1;;;
Antedon;;123349;exact;accepted;Antedon;123349;Antedon;Animalia;Echinodermata;Crinoidea;Comatulida;Antedonidae;Antedon;;;;1;0;0;0
Botryllus;;103529;exact;accepted;Botryllus;103529;Botryllus;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botryllus;;;;1;;;0
Eurynome aspera;;107318;exact;accepted;Eurynome aspera;107318;Eurynome aspera;Animalia;Arthropoda;Malacostraca;Decapoda;Majidae;Eurynome;;aspera;;1;;;
Cirripedia;;1082;exact;accepted;Cirripedia;1082;Cirripedia;Animalia;Arthropoda;Hexanauplia;;;;;;;1;;1;
Bivalvia;;105;exact;accepted;Bivalvia;105;Bivalvia;Animalia;Mollusca;Bivalvia;;;;;;;1;1;1;0
Metridium senile;;100982;exact;accepted;Metridium senile;100982;Metridium senile;Animalia;Cnidaria;Anthozoa;Actiniaria;Metridiidae;Metridium;;senile;;1;;;
Sarda sarda;;127021;exact;accepted;Sarda sarda;127021;Sarda sarda;Animalia;Chordata;Actinopterygii;Perciformes;Scombridae;Sarda;;sarda;;1;1;0;0
Chrysaora hysoscella;;135304;exact;accepted;Chrysaora hysoscella;135304;Chrysaora hysoscella;Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Pelagiidae;Chrysaora;;hysoscella;;1;0;0;0
