Année;Mois;Débit (m3/s)
1999;6;376.00
1999;7;283.00
1999;8;233.00
1999;9;245.00
1999;10;359.00
1999;11;320.00
1999;12;1020.00
2000;1;1210.00
2000;2;1140.00
2000;3;924.00
2000;4;704.00
2000;5;534.00
2000;6;407.00
2000;7;511.00
2000;8;470.00
2000;9;375.00
2000;10;618.00
2000;11;920.00
2000;12;1040.00
2001;1;1180.00
2001;2;1160.00
2001;3;1510.00
2001;4;1710.00
2001;5;1250.00
2001;6;522.00
2001;7;560.00
2001;8;460.00
2001;9;525.00
2001;10;640.00
2001;11;607.00
2001;12;851.00
2002;1;1010.00
2002;2;1220.00
2002;3;1350.00
2002;4;593.00
2002;5;464.00
2002;6;362.00
2002;7;277.00
2002;8;293.00
2002;9;273.00
2002;10;318.00
2002;11;784.00
2002;12;742.00
2003;1;1280.00
2003;2;1030.00
2003;3;530.00
2003;4;409.00
2003;5;410.00
2003;6;298.00
2003;7;223.00
2003;8;200.00
2003;9;185.00
2003;10;193.00
2003;11;221.00
2003;12;330.00
2004;1;900.00
2004;2;665.00
2004;3;436.00
2004;4;364.00
2004;5;401.00
2004;6;257.00
2004;7;258.00
2004;8;325.00
2004;9;290.00
2004;10;338.00
2004;11;390.00
2004;12;392.00
2005;1;537.00
2005;2;598.00
2005;3;474.00
2005;4;506.00
2005;5;392.00
2005;6;211.00
2005;7;238.00
2005;8;227.00
2005;9;230.00
2005;10;232.00
2005;11;200.00
2005;12;283.00
2006;1;380.00
2006;2;480.00
2006;3;
2006;4;
2006;5;
2006;6;
2006;7;
2006;8;
2006;9;
2006;10;
2006;11;
2006;12;
