RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,DateofCalculation
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88018,18,1988,10,13,1556,-9,30,D,50.5903,0.7697,50.6010,0.8090,30F0,43,V,C8818,1,1,C,3.5000,-9,-9,3143,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88019,19,1988,10,13,1740,-9,30,D,50.6677,1.0090,50.6697,1.0560,30F1,40,V,C8819,1,1,C,3.5000,-9,-9,3188,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88020,20,1988,10,14,0920,-9,16,D,50.7913,0.8520,50.8010,0.8833,30F0,40,V,C8820,1,1,C,3.5000,-9,-9,2180,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88021,21,1988,10,14,1100,-9,15,D,50.8727,0.8383,50.8717,0.8177,30F0,21,V,C8821,1,1,C,3.5000,-9,-9,1650,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88022,22,1988,10,14,1301,-9,15,D,50.8040,0.5853,50.8000,0.5560,30F0,22,V,C8822,1,1,C,3.5000,-9,-9,2015,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88023,23,1988,10,14,1423,-9,27,D,50.6757,0.5833,50.7000,0.6020,30F0,58,V,C8823,1,1,C,3.5000,-9,-9,2477,250,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88024,24,1988,10,16,1508,-9,15,D,49.9873,1.1757,49.9913,1.2010,28F1,24,V,C8824,1,1,C,3.5000,-9,-9,1609,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88025,25,1988,10,16,1732,-9,17,D,49.9667,0.8237,49.9687,0.8500,28F0,30,V,C8825,1,1,C,3.5000,-9,-9,1590,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88026,26,1988,10,17,0759,-9,30,D,50.0413,0.7070,50.0500,0.7520,29F0,33,V,C8826,1,1,C,3.5000,-9,-9,2997,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88027,27,1988,10,17,0947,-9,15,D,49.9080,0.6167,49.9040,0.5893,28F0,30,V,C8827,1,1,C,3.5000,-9,-9,1828,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88028,28,1988,10,17,1103,-9,15,D,49.8500,0.4413,49.8353,0.4167,28F0,30,V,C8828,1,1,C,3.5000,-9,-9,2611,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88029,29,1988,10,17,1335,-9,30,D,50.1060,0.4383,50.1010,0.3903,29F0,45,V,C8829,1,1,C,3.5000,-9,-9,3454,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88030,30,1988,10,17,1545,-9,30,D,50.3030,0.4333,50.3167,0.4717,29F0,48,V,C8830,1,1,C,3.5000,-9,-9,3228,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
